city,country,housing,cost of living,startups,venture capital,travel connectivity,commute,business freedom,safety,healthcare,education,environmental quality,economy,taxation,internet access,leisure & culture,tolerance,outdoors,lat,lng,iso3,population,mcmeal_combo,avg_monthly_net_salary,internet_60mbps
Aarhus,Denmark,6.1315,4.015000000000001,2.827000000000001,2.5119999999999996,3.5360000000000005,6.31175,9.94,9.616500000000002,8.704333333333333,5.3665,7.633000000000001,4.886500000000001,5.0680000000000005,8.373,3.187,9.738500000000002,4.13,56.1572,10.2107,DNK,290598.0,12.47,3458.74,30.56
Adelaide,Australia,6.3095,4.692,3.1365,2.64,1.7765000000000004,5.33625,9.399666666666668,7.926000000000001,7.936666666666666,5.1419999999999995,8.330750000000002,6.0695000000000014,4.5885,4.341,4.3285,7.822,5.531000000000001,-34.9275,138.6,AUS,1387290.0,8.65,4144.98,48.5
Albuquerque,United States,7.262,6.059,3.772,1.493,1.4555000000000002,5.05575,8.671,1.3435,6.429999999999999,4.151999999999999,7.3195,6.5145,4.346,5.396000000000001,4.890000000000001,7.028499999999999,3.5155,35.1054,-106.6465,USA,767499.0,8.3,5317.78,74.35
Almaty,Kazakhstan,9.282,9.333,2.4585,0.0,4.592,5.871249999999999,5.568,7.309,4.5456666666666665,2.283,3.85675,5.269,8.522,2.886,2.9370000000000003,6.5395,5.499999999999999,43.24,76.915,KAZ,2228675.0,5.31,504.8,11.76
Amsterdam,Netherlands,3.0529999999999995,3.8240000000000007,7.971500000000001,6.107,8.3245,6.1185,8.836666666666666,8.503500000000003,7.907333333333333,6.18,7.59725,5.053000000000001,4.954999999999999,4.523000000000001,8.874,8.368,5.3069999999999995,52.3728,4.8936,NLD,1477213.0,10.54,3655.44,49.7
Anchorage,United States,5.433500000000001,3.141,2.7945,0.0,1.7379999999999998,4.715249999999999,8.671,3.4704999999999995,6.0603333333333325,3.6245,9.272000000000002,6.5145,4.772,4.9645,3.2660000000000005,7.093,5.3580000000000005,61.1508,-149.1091,USA,289069.0,9.5,4312.5,121.27
Ankara,Turkey,9.928,9.125,3.9725000000000006,0.0,2.0475,5.291,5.948333333333333,7.425000000000002,6.914333333333333,2.0285,2.9360000000000004,4.093500000000001,4.323499999999999,2.3160000000000003,8.638499999999999,4.485500000000001,5.1465,39.93,32.85,TUR,5864049.0,3.89,371.38,8.71
Asheville,United States,5.855999999999999,5.311,3.5405,0.0,1.2095,1.358,8.671,5.852500000000001,6.725333333333332,3.6245,8.49325,6.5145,4.062,4.7875,5.063,7.7305,2.2655,35.5707,-82.5537,USA,295040.0,7.5,3480.0,69.37
Asuncion,Paraguay,9.2265,9.295000000000002,2.207,0.0,0.645,4.968750000000001,3.684,6.9345,5.485333333333333,0.0,3.969,4.109,8.423499999999999,1.479,5.991999999999999,7.051499999999999,3.4845000000000006,-25.2945,-57.6435,PRY,477346.0,4.85,354.73,24.37
Athens,Greece,9.052499999999998,6.5,4.404,2.325,3.707,5.2197499999999994,6.168999999999999,6.7585,7.153,3.1624999999999996,3.80225,3.3199999999999994,4.1665,2.2279999999999993,7.876000000000001,6.268000000000001,6.483,37.9842,23.7281,GRC,3059764.0,7.38,960.36,32.2
