city,country,housing,cost of living,startups,venture capital,travel connectivity,commute,business freedom,safety,healthcare,education,environmental quality,economy,taxation,internet access,leisure & culture,tolerance,outdoors,lat,lng,iso3,population,mcmeal_combo,avg_monthly_net_salary,internet_60mbps,sun_jan,sun_feb,sun_mar,sun_apr,sun_may,sun_jun,sun_jul,sun_aug,sun_sep,sun_oct,sun_nov,sun_dec,sun_year,temp_jan,temp_feb,temp_mar,temp_apr,temp_may,temp_jun,temp_jul,temp_aug,temp_sep,temp_oct,temp_nov,temp_dec,temp_year
Adelaide,Australia,6.3095,4.692,3.1365,2.64,1.7765000000000004,5.33625,9.399666666666668,7.926000000000001,7.936666666666666,5.1419999999999995,8.330750000000002,6.0695000000000014,4.5885,4.341,4.3285,7.822,5.531000000000001,-34.9275,138.6,AUS,1387290.0,8.65,4144.98,48.5,325.5,285.3,266.6,219.0,167.4,138.0,148.8,186.0,204.0,257.3,273.0,294.5,2765.4,"23.2
(73.8)","23.3
(73.9)","20.9
(69.6)","17.6
(63.7)","13.5
(56.3)","12.1
(53.8)","11.4
(52.5)","12.4
(54.3)","14.4
(57.9)","16.7
(62.1)","19.7
(67.5)","21.3
(70.3)","17.3
(63.1)"
Albuquerque,United States,7.262,6.059,3.772,1.493,1.4555000000000002,5.05575,8.671,1.3435,6.429999999999999,4.151999999999999,7.3195,6.5145,4.346,5.396000000000001,4.890000000000001,7.028499999999999,3.5155,35.1054,-106.6465,USA,767499.0,8.3,5317.78,74.35,234.2,225.3,270.2,304.6,347.4,359.3,335.0,314.2,286.7,281.4,233.8,223.3,3415.4,"2.4
(36.4)","5.2
(41.4)","8.9
(48.1)","13.3
(56.0)","18.7
(65.6)","23.8
(74.9)","25.7
(78.3)","24.6
(76.2)","20.7
(69.3)","14.2
(57.5)","7.2
(44.9)","2.4
(36.3)","14.0
(57.2)"
Almaty,Kazakhstan,9.282,9.333,2.4585,0.0,4.592,5.871249999999999,5.568,7.309,4.5456666666666665,2.283,3.85675,5.269,8.522,2.886,2.9370000000000003,6.5395,5.499999999999999,43.24,76.915,KAZ,2228675.0,5.31,504.8,11.76,118.0,119.0,147.0,194.0,241.0,280.0,306.0,294.0,245.0,184.0,127.0,101.0,2356.0,"−4.7
(23.5)","−3.0
(26.6)","3.4
(38.1)","11.5
(52.7)","16.6
(61.9)","21.6
(70.9)","23.8
(74.8)","23.0
(73.4)","17.6
(63.7)","9.9
(49.8)","2.7
(36.9)","−2.8
(27.0)","10.0
(50.0)"
Amsterdam,Netherlands,3.0529999999999995,3.8240000000000007,7.971500000000001,6.107,8.3245,6.1185,8.836666666666666,8.503500000000003,7.907333333333333,6.18,7.59725,5.053000000000001,4.954999999999999,4.523000000000001,8.874,8.368,5.3069999999999995,52.3728,4.8936,NLD,1477213.0,10.54,3655.44,49.7,63.0,88.0,126.0,183.0,222.0,206.0,217.0,197.0,139.0,109.0,62.0,51.0,1662.0,"3.4
(38.1)","3.5
(38.3)","6.1
(43.0)","9.1
(48.4)","12.9
(55.2)","15.4
(59.7)","17.6
(63.7)","17.5
(63.5)","14.7
(58.5)","11.0
(51.8)","7.1
(44.8)","4.0
(39.2)","10.2
(50.4)"
Anchorage,United States,5.433500000000001,3.141,2.7945,0.0,1.7379999999999998,4.715249999999999,8.671,3.4704999999999995,6.0603333333333325,3.6245,9.272000000000002,6.5145,4.772,4.9645,3.2660000000000005,7.093,5.3580000000000005,61.1508,-149.1091,USA,289069.0,9.5,4312.5,121.27,82.9,120.5,195.8,235.3,288.7,274.7,250.1,203.9,159.8,117.1,80.6,51.8,2061.2,"−8.3
(17.1)","−6.6
(20.2)","−3.0
(26.6)","2.7
(36.8)","8.8
(47.8)","12.9
(55.2)","14.9
(58.8)","13.7
(56.7)","9.2
(48.6)","1.6
(34.8)","−5.4
(22.2)","−7.2
(19.0)","2.8
(37.1)"
Ankara,Turkey,9.928,9.125,3.9725000000000006,0.0,2.0475,5.291,5.948333333333333,7.425000000000002,6.914333333333333,2.0285,2.9360000000000004,4.093500000000001,4.323499999999999,2.3160000000000003,8.638499999999999,4.485500000000001,5.1465,39.93,32.85,TUR,5864049.0,3.89,371.38,8.71,77.5,98.9,161.2,189.0,260.4,306.0,350.3,328.6,276.0,198.4,132.0,71.3,2449.6,"0.4
(32.7)","1.9
(35.4)","6.0
(42.8)","11.3
(52.3)","16.1
(61.0)","20.1
(68.2)","23.6
(74.5)","23.4
(74.1)","18.8
(65.8)","13.0
(55.4)","7.0
(44.6)","2.6
(36.7)","12.0
(53.6)"
Asuncion,Paraguay,9.2265,9.295000000000002,2.207,0.0,0.645,4.968750000000001,3.684,6.9345,5.485333333333333,0.0,3.969,4.109,8.423499999999999,1.479,5.991999999999999,7.051499999999999,3.4845000000000006,-25.2945,-57.6435,PRY,477346.0,4.85,354.73,24.37,276.0,246.0,254.0,228.0,205.0,165.0,195.0,223.0,204.0,242.0,270.0,295.0,2803.0,"27.5
(81.5)","26.9
(80.4)","25.9
(78.6)","22.8
(73.0)","19.8
(67.6)","17.6
(63.7)","17.9
(64.2)","18.6
(65.5)","20.5
(68.9)","23.2
(73.8)","24.9
(76.8)","26.5
(79.7)","22.7
(72.9)"
Athens,Greece,9.052499999999998,6.5,4.404,2.325,3.707,5.2197499999999994,6.168999999999999,6.7585,7.153,3.1624999999999996,3.80225,3.3199999999999994,4.1665,2.2279999999999993,7.876000000000001,6.268000000000001,6.483,37.9842,23.7281,GRC,3059764.0,7.38,960.36,32.2,130.0,134.0,183.0,231.0,291.0,336.0,363.0,341.0,276.0,208.0,153.0,127.0,2773.0,"10.2
(50.4)","10.9
(51.6)","13.2
(55.8)","16.9
(62.4)","21.8
(71.2)","26.6
(79.9)","29.3
(84.7)","29.3
(84.7)","25.0
(77.0)","20.1
(68.2)","15.5
(59.9)","11.5
(52.7)","19.2
(66.6)"
Atlanta,United States,4.9755,5.241,8.835,7.2570000000000014,5.2915,3.89775,8.671,2.6725,6.0233333333333325,6.456999999999999,5.817749999999999,6.5145,4.204,6.4805,7.765499999999999,4.062,5.0095,33.7628,-84.422,USA,5211164.0,8.25,4878.17,73.7,164.0,171.7,220.5,261.2,288.6,284.8,273.8,258.6,227.5,238.5,185.1,164.0,2738.3,"6.4
(43.5)","8.6
(47.4)","12.6
(54.6)","16.7
(62.1)","21.3
(70.3)","25.2
(77.4)","26.9
(80.4)","26.4
(79.5)","23.1
(73.5)","17.4
(63.4)","12.3
(54.1)","7.5
(45.5)","17.0
(62.6)"
Auckland,New Zealand,4.72,4.470000000000001,4.588000000000001,2.79,1.3045000000000004,4.845000000000001,10.0,7.0215,8.162666666666665,5.0465,8.2725,5.505500000000001,5.9315,6.8500000000000005,4.395999999999999,7.402000000000001,5.862,-36.8492,174.7653,NZL,1470100.0,9.62,3978.79,54.87,228.8,194.9,189.2,157.3,139.8,110.3,128.1,142.9,148.6,178.1,188.1,197.2,2003.1,"19.1
(66.4)","19.7
(67.5)","18.4
(65.1)","16.1
(61.0)","14.0
(57.2)","11.8
(53.2)","10.9
(51.6)","11.3
(52.3)","12.7
(54.9)","14.2
(57.6)","15.7
(60.3)","17.8
(64.0)","15.2
(59.4)"
