city,country,housing,cost of living,startups,venture capital,travel connectivity,commute,business freedom,safety,healthcare,education,environmental quality,economy,taxation,internet access,leisure & culture,tolerance,outdoors,purchasing power index,climate index,lat,lng,iso3,population,mcmeal_combo,avg_monthly_net_salary,internet_60mbps,sun_jan,sun_feb,sun_mar,sun_apr,sun_may,sun_jun,sun_jul,sun_aug,sun_sep,sun_oct,sun_nov,sun_dec,sun_year,temp_jan,temp_feb,temp_mar,temp_apr,temp_may,temp_jun,temp_jul,temp_aug,temp_sep,temp_oct,temp_nov,temp_dec,temp_year,happy_decibel_level,happy_traffic_density,happy_green_space_area,happy_air_quality_index,happy_happiness_score,happy_cost_of_living_index,happy_healthcare_index,median_speed(mbps)
Aarhus,Denmark,6.1315,4.015000000000001,2.827000000000001,2.5119999999999996,3.5360000000000005,6.31175,9.94,9.616500000000002,8.704333333333333,5.3665,7.633000000000001,4.886500000000001,5.0680000000000005,8.373,3.187,9.738500000000002,4.13,,,56.1572,10.2107,DNK,290598.0,12.47,3458.74,30.56,54.0,72.0,148.0,213.0,260.0,251.0,242.0,211.0,161.0,101.0,60.0,49.0,1821.0,,,,,,,,,,,,,,,,,,,,,
Abu Dhabi,United Arab Emirates,,,,,,,,,,,,,,,,,,160.5,43.9,24.4667,54.3667,ARE,1483000.0,8.17,3541.4,100.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.39
Adelaide,Australia,6.3095,4.692,3.1365,2.64,1.7765000000000004,5.33625,9.399666666666668,7.926000000000001,7.936666666666666,5.1419999999999995,8.330750000000002,6.0695000000000014,4.5885,4.341,4.3285,7.822,5.531000000000001,109.3,95.0,-34.9275,138.6,AUS,1387290.0,8.65,4144.98,48.5,325.5,285.3,266.6,219.0,167.4,138.0,148.8,186.0,204.0,257.3,273.0,294.5,2765.4,"23.2
(73.8)","23.3
(73.9)","20.9
(69.6)","17.6
(63.7)","13.5
(56.3)","12.1
(53.8)","11.4
(52.5)","12.4
(54.3)","14.4
(57.9)","16.7
(62.1)","19.7
(67.5)","21.3
(70.3)","17.3
(63.1)",55.0,Low,65.0,45.0,7.8,105.0,90.0,
Ahmedabad,India,,,,,,,,,,,,,,,,,,63.4,49.3,23.0225,72.5714,IND,8009000.0,3.68,433.96,7.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albuquerque,United States,7.262,6.059,3.772,1.493,1.4555000000000002,5.05575,8.671,1.3435,6.429999999999999,4.151999999999999,7.3195,6.5145,4.346,5.396000000000001,4.890000000000001,7.028499999999999,3.5155,,,35.1054,-106.6465,USA,767499.0,8.3,5317.78,74.35,234.2,225.3,270.2,304.6,347.4,359.3,335.0,314.2,286.7,281.4,233.8,223.3,3415.4,"2.4
(36.4)","5.2
(41.4)","8.9
(48.1)","13.3
(56.0)","18.7
(65.6)","23.8
(74.9)","25.7
(78.3)","24.6
(76.2)","20.7
(69.3)","14.2
(57.5)","7.2
(44.9)","2.4
(36.3)","14.0
(57.2)",,,,,,,,
Almaty,Kazakhstan,9.282,9.333,2.4585,0.0,4.592,5.871249999999999,5.568,7.309,4.5456666666666665,2.283,3.85675,5.269,8.522,2.886,2.9370000000000003,6.5395,5.499999999999999,,,43.24,76.915,KAZ,2228675.0,5.31,504.8,11.76,118.0,119.0,147.0,194.0,241.0,280.0,306.0,294.0,245.0,184.0,127.0,101.0,2356.0,"−4.7
(23.5)","−3.0
(26.6)","3.4
(38.1)","11.5
(52.7)","16.6
(61.9)","21.6
(70.9)","23.8
(74.8)","23.0
(73.4)","17.6
(63.7)","9.9
(49.8)","2.7
(36.9)","−2.8
(27.0)","10.0
(50.0)",,,,,,,,77.74
Amman,Jordan,,,,,,,,,,,,,,,,,,45.3,89.0,31.9497,35.9328,JOR,4007526.0,7.05,635.66,36.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.79
Amsterdam,Netherlands,3.0529999999999995,3.8240000000000007,7.971500000000001,6.107,8.3245,6.1185,8.836666666666666,8.503500000000003,7.907333333333333,6.18,7.59725,5.053000000000001,4.954999999999999,4.523000000000001,8.874,8.368,5.3069999999999995,112.2,87.5,52.3728,4.8936,NLD,1477213.0,10.54,3655.44,49.7,63.0,88.0,126.0,183.0,222.0,206.0,217.0,197.0,139.0,109.0,62.0,51.0,1662.0,"3.4
(38.1)","3.5
(38.3)","6.1
(43.0)","9.1
(48.4)","12.9
(55.2)","15.4
(59.7)","17.6
(63.7)","17.5
(63.5)","14.7
(58.5)","11.0
(51.8)","7.1
(44.8)","4.0
(39.2)","10.2
(50.4)",50.0,Low,75.0,50.0,7.9,105.0,90.0,105.49
Anchorage,United States,5.433500000000001,3.141,2.7945,0.0,1.7379999999999998,4.715249999999999,8.671,3.4704999999999995,6.0603333333333325,3.6245,9.272000000000002,6.5145,4.772,4.9645,3.2660000000000005,7.093,5.3580000000000005,,,61.1508,-149.1091,USA,289069.0,9.5,4312.5,121.27,82.9,120.5,195.8,235.3,288.7,274.7,250.1,203.9,159.8,117.1,80.6,51.8,2061.2,"−8.3
(17.1)","−6.6
(20.2)","−3.0
(26.6)","2.7
(36.8)","8.8
(47.8)","12.9
(55.2)","14.9
(58.8)","13.7
(56.7)","9.2
(48.6)","1.6
(34.8)","−5.4
(22.2)","−7.2
(19.0)","2.8
(37.1)",,,,,,,,
Andorra,Andorra,3.969,0.0,1.0,0.0,0.5,0.0,0.0,9.5535,0.0,0.0,7.256,0.0,4.475,7.186,2.132,8.7035,3.5885,,,42.5,1.5,AND,22615.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
