Country,healthcare_health_care_index,healthcare_health_care_exp._index,crime_crime_index,crime_safety_index,pollution_pollution_index,pollution_exp_pollution_index
Afghanistan,,,78.3,21.7,84.9,151.5
Albania,49.5,86.1,45.6,54.4,77.0,135.0
Algeria,54.7,99.0,52.2,47.8,63.2,109.9
Andorra,,,12.9,87.1,,
Angola,,,66.5,33.5,,
Argentina,68.1,123.3,64.2,35.8,51.1,87.2
Armenia,,,22.4,77.6,61.7,112.2
Australia,69.8,126.0,47.1,52.9,29.4,47.3
Austria,76.6,139.5,29.3,70.7,21.8,35.0
Azerbaijan,47.7,82.9,31.6,68.4,73.1,127.6
Bahamas,,,56.5,43.5,,
Bahrain,,,23.9,76.1,71.2,128.6
Bangladesh,42.3,72.4,61.5,38.5,85.6,153.2
Barbados,,,47.1,52.9,,
Belarus,48.0,84.7,50.8,49.2,44.9,74.6
Belgium,75.3,136.6,49.2,50.8,49.7,83.8
Belize,,,53.0,47.0,,
Bolivia,,,64.6,35.4,72.7,127.2
Bosnia And Herzegovina,55.7,99.6,40.9,59.1,60.5,106.9
Botswana,,,52.2,47.8,,
Brazil,58.9,104.9,65.6,34.4,52.6,89.4
Brunei,,,29.5,70.5,,
Bulgaria,57.2,101.5,37.1,62.9,63.3,114.1
Cambodia,,,52.8,47.2,78.2,138.0
Cameroon,,,63.5,36.5,93.8,170.0
Canada,69.1,126.7,45.2,54.8,30.2,49.3
Chile,63.4,115.3,59.3,40.7,77.1,138.3
China,68.1,122.5,24.9,75.1,78.2,141.8
Colombia,68.3,122.8,61.2,38.8,62.8,110.7
Costa Rica,64.6,116.4,53.7,46.3,43.8,74.7
Croatia,65.1,118.5,26.0,74.0,31.3,51.3
Cuba,,,33.4,66.6,,
Cyprus,57.2,100.1,32.4,67.6,56.4,95.2
Czech Republic,75.5,138.6,26.8,73.2,34.8,57.6
Denmark,78.0,143.6,26.3,73.7,21.9,34.0
Dominican Republic,57.6,101.3,60.5,39.5,71.9,125.2
Ecuador,67.6,120.7,62.1,37.9,58.6,100.1
Egypt,47.5,81.7,47.3,52.7,82.8,147.0
El Salvador,,,61.3,38.7,,
Estonia,76.3,140.1,23.8,76.2,16.7,27.0
Ethiopia,,,50.8,49.2,74.6,130.6
Fiji,,,57.3,42.7,,
Finland,77.3,140.9,26.3,73.7,12.0,19.9
France,78.1,142.8,55.3,44.7,43.4,72.4
Georgia,54.5,94.9,26.1,73.9,68.4,122.8
Germany,71.7,130.2,38.9,61.1,29.2,47.1
Ghana,,,43.9,56.1,87.9,157.4
Greece,57.3,101.9,46.7,53.3,52.0,90.7
Guatemala,68.0,121.5,59.5,40.5,73.5,128.2
Guyana,,,67.3,32.7,,
Haiti,,,77.9,22.1,,
Honduras,,,73.4,26.6,,
Hong Kong (China),65.8,119.5,21.8,78.2,66.9,118.7
Hungary,54.0,97.0,33.7,66.3,48.0,83.1
Iceland,67.1,122.4,25.4,74.6,15.8,27.1
India,64.9,115.8,44.3,55.7,72.8,127.0
Indonesia,60.8,108.0,46.1,53.9,67.4,116.4
Iran,53.0,92.4,49.5,50.5,74.8,137.0
Iraq,45.7,78.0,44.7,55.3,72.5,126.2
Ireland,51.8,94.0,46.5,53.5,34.2,56.7
Isle Of Man,,,20.5,79.5,,
Israel,73.5,134.6,32.4,67.6,57.0,100.8
Italy,65.6,118.8,47.3,52.7,54.0,91.4
Ivory Coast,,,57.1,42.9,,
Jamaica,,,68.1,31.9,66.0,114.8
Japan,79.3,144.5,22.6,77.4,38.6,62.3
Jordan,65.0,116.8,40.4,59.6,76.4,134.4
Kazakhstan,60.1,106.2,45.9,54.1,73.6,133.5
Kenya,61.1,108.3,56.4,43.6,69.3,121.3
Kosovo (Disputed Territory),,,41.7,58.3,,
Kuwait,57.9,103.4,32.8,67.2,68.0,120.1
Kyrgyzstan,,,54.0,46.0,,
Latvia,62.6,112.3,37.4,62.6,30.8,49.6
Lebanon,63.5,118.4,46.4,53.6,89.4,159.9
Libya,,,60.4,39.6,,
Lithuania,74.4,135.4,32.8,67.2,26.9,43.4
Luxembourg,76.3,138.9,34.4,65.6,21.8,32.8
Malaysia,70.1,126.2,50.7,49.3,61.4,104.7
Maldives,,,55.0,45.0,,
Malta,52.3,90.8,41.2,58.8,75.4,132.2
Mauritius,,,47.8,52.2,54.8,93.1
Mexico,72.5,130.7,53.8,46.2,58.1,98.4
Moldova,,,45.1,54.9,62.6,108.4
Monaco,,,23.6,76.4,77.7,139.1
Mongolia,,,52.4,47.6,87.7,160.3
Montenegro,,,38.0,62.0,46.0,77.5
Morocco,45.1,77.0,46.5,53.5,69.6,120.9
Mozambique,,,63.7,36.3,,
Myanmar,,,50.4,49.6,89.8,162.2
Namibia,,,63.9,36.1,,
Nepal,57.6,101.3,37.7,62.3,84.0,149.3
Netherlands,78.9,144.3,26.3,73.7,21.8,34.6
New Zealand,67.7,122.0,47.7,52.3,28.1,47.5
Nicaragua,,,52.2,47.8,,
Nigeria,48.7,84.2,66.2,33.8,87.9,157.1
North Korea,,,51.7,48.3,,
North Macedonia,55.1,98.5,41.0,59.0,79.6,144.9
Norway,75.7,138.2,32.6,67.4,18.6,29.9
Oman,61.0,108.6,19.0,81.0,38.4,61.7
Pakistan,59.8,105.7,43.2,56.8,72.9,127.1
Palestine,,,42.1,57.9,,
Panama,60.1,106.5,44.3,55.7,55.8,96.9
Papua New Guinea,,,79.7,20.3,,
Paraguay,,,50.9,49.1,,
Peru,56.4,98.8,67.8,32.2,82.7,147.2
Philippines,67.4,120.6,42.8,57.2,72.5,127.2
Poland,55.4,98.1,30.7,69.3,57.5,101.4
Portugal,72.7,132.2,31.2,68.8,28.7,45.9
Puerto Rico,58.3,106.0,61.7,38.3,48.7,83.3
Qatar,72.3,131.4,16.0,84.0,60.5,106.6
Romania,56.3,99.2,33.7,66.3,58.9,100.7
Russia,60.9,107.9,39.1,60.9,59.6,101.9
Rwanda,,,26.8,73.2,,
Saudi Arabia,60.4,107.5,26.9,73.1,64.1,112.1
Serbia,52.1,93.5,38.3,61.7,65.0,114.3
Singapore,70.6,130.7,23.5,76.5,33.3,56.4
Slovakia,59.2,107.0,31.1,68.9,37.2,62.4
Slovenia,66.5,122.8,24.2,75.8,22.4,38.9
Somalia,,,65.2,34.8,,
South Africa,64.0,115.5,75.4,24.6,56.3,95.9
South Korea,82.7,151.3,24.9,75.1,61.4,112.2
Spain,77.6,142.6,36.2,63.8,35.6,57.4
Sri Lanka,71.1,128.3,42.1,57.9,58.8,100.6
Sudan,,,45.4,54.6,,
Sweden,68.6,125.6,48.4,51.6,17.7,27.5
Switzerland,72.6,135.8,25.3,74.7,22.2,35.7
Syria,,,69.1,30.9,75.0,131.0
Taiwan,86.0,158.2,16.7,83.3,63.9,110.9
Tanzania,,,54.5,45.5,63.5,111.2
Thailand,77.2,140.5,37.9,62.1,75.5,132.9
Trinidad And Tobago,53.5,99.1,70.8,29.2,66.5,114.9
Tunisia,57.0,100.0,44.4,55.6,69.6,121.2
Turkey,70.7,127.2,40.9,59.1,64.7,111.9
Uganda,,,55.0,45.0,,
Ukraine,55.4,97.0,46.9,53.1,61.8,106.3
United Arab Emirates,69.2,127.2,15.6,84.4,49.0,82.9
United Kingdom,73.5,134.7,47.4,52.6,40.5,67.0
United States,67.6,124.1,49.3,50.7,37.1,61.3
Uruguay,68.4,123.6,52.2,47.8,43.4,77.1
Us Virgin Islands,,,62.1,37.9,,
Uzbekistan,,,30.5,69.5,,
Venezuela,38.7,67.8,81.2,18.8,75.6,134.1
Vietnam,60.8,106.8,42.2,57.8,83.8,149.6
Yemen,,,68.6,31.4,,
Zambia,,,46.4,53.6,,
Zimbabwe,,,60.9,39.1,76.6,136.2
